NO,GENDER ,1,2,3,4,5,6,7,8,9,10,TOTAL ,RESULT
418,P,5,2,5,2,2,3,4,1,5,3,32,0
419,P,4,2,3,3,2,2,3,3,5,5,32,0
420,L,4,3,1,3,2,2,4,3,3,4,29,0
421,P,2,2,3,2,2,2,2,2,2,3,22,0
422,P,5,3,1,1,1,1,3,2,1,1,19,0
423,P,5,6,2,5,2,2,2,2,4,2,32,0
424,L,6,3,2,4,2,1,1,5,3,1,28,0
425,L,4,3,2,4,2,2,1,2,4,3,27,0
426,L,3,1,4,3,4,1,1,1,6,2,26,0
427,L,3,1,2,2,2,2,2,4,4,3,25,0
428,L,3,4,3,2,1,2,1,5,5,3,29,0
429,L,2,2,4,2,2,2,2,4,3,4,27,0
430,L,4,3,2,4,2,2,1,2,4,3,27,0
431,L,1,2,2,4,2,3,1,3,2,6,26,0
432,P,1,2,1,2,2,2,5,1,2,1,19,0
433,P,2,2,2,1,2,2,2,1,2,2,18,0
434,P,4,2,2,5,1,2,3,2,2,2,25,0
435,L,1,1,1,1,1,1,1,2,1,2,12,0
436,L,3,2,3,5,1,2,1,2,1,5,25,0
437,L,1,1,1,4,4,4,1,4,4,3,27,0
438,P,4,3,2,4,4,3,3,2,3,4,32,0
439,L,5,1,2,3,3,3,3,3,4,3,30,0
440,L,3,3,3,2,1,4,3,3,3,3,28,0
441,L,3,3,4,4,1,1,5,2,2,4,29,0
442,P,4,2,5,2,2,2,3,2,5,4,31,0
443,P,2,4,4,4,2,2,2,2,5,2,29,0
444,P,4,4,3,2,2,1,1,2,4,4,27,0
445,P,5,4,4,2,2,2,3,2,2,3,29,0
446,P,4,3,2,5,3,1,3,2,3,5,31,0
447,P,4,3,2,3,2,2,2,4,4,3,29,0
448,P,2,3,1,5,3,1,1,1,4,4,25,0
449,L,3,3,2,2,3,4,1,2,3,2,25,0
450,P,3,1,1,1,1,1,2,1,2,1,14,0
451,L,1,2,5,2,3,6,1,2,2,1,25,0
452,P,3,3,4,2,3,3,4,3,4,3,32,0
453,L,2,5,2,2,2,2,2,2,3,4,26,0
454,L,3,2,5,3,2,4,3,3,2,3,30,0
455,P,4,5,4,3,1,1,2,4,2,1,27,0
456,P,3,4,5,3,2,2,3,2,3,3,30,0
457,P,4,2,1,2,3,2,1,3,3,2,23,0
458,L,4,4,3,2,2,2,2,2,3,3,27,0
459,P,4,5,2,3,3,2,4,2,3,4,32,0
460,P,4,2,3,3,2,2,4,4,5,3,32,0
461,L,3,4,2,3,1,1,3,5,2,3,27,0
462,P,4,5,4,1,1,2,2,1,1,3,24,0
463,L,4,2,2,2,2,2,2,3,1,2,22,0
464,L,3,4,1,4,2,1,1,5,3,1,25,0
465,P,3,3,1,3,1,3,2,3,1,3,23,0
466,L,4,4,2,2,3,2,3,2,3,4,29,0
467,L,3,2,3,4,2,2,2,2,4,3,27,0
468,P,2,4,4,3,2,2,1,2,4,3,27,0
469,P,3,3,4,2,3,3,4,3,4,3,32,0
470,P,4,3,2,3,2,2,2,4,4,3,29,0
471,P,3,4,2,2,2,2,2,2,4,2,25,0
472,P,4,3,2,4,3,1,1,3,3,5,29,0
473,P,5,4,5,2,2,2,2,2,3,5,32,0
474,P,3,3,4,3,2,2,2,5,2,5,31,0
475,P,2,2,2,2,2,5,3,3,5,5,31,0
476,P,5,5,3,4,2,4,2,2,2,1,30,0
477,P,2,2,4,3,3,2,2,1,1,3,23,0
478,L,3,3,2,2,4,1,1,2,2,3,23,0
479,L,3,4,3,3,2,3,2,4,3,3,30,0
480,P,5,1,1,2,1,1,1,4,4,1,21,0
481,L,2,2,2,3,2,1,1,5,2,2,22,0
482,L,2,2,2,4,3,2,2,2,2,5,26,0
483,P,3,3,3,5,2,2,2,3,3,5,31,0
484,L,4,2,2,2,2,2,2,4,4,5,29,0
485,P,3,3,3,4,3,3,2,3,2,3,29,0
486,P,5,2,1,5,3,3,2,3,3,5,32,0
487,P,4,1,4,2,2,2,2,4,5,6,32,0
488,P,2,1,2,2,3,3,2,4,4,2,25,0
