No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
163,A,1,14,2,2,1,3,4,3,2,3,2,2,2,4,3,2,27,0
164,R,0,14,2,3,1,3,4,3,2,4,3,3,4,4,5,4,36,1
165,I,0,14,1,3,1,3,6,5,4,1,4,5,3,3,6,6,43,1
166,AH,1,14,2,2,1,3,3,2,1,3,5,3,4,5,5,3,34,1
167,S,0,13,1,2,1,3,4,5,5,5,5,3,2,2,2,1,34,1
168,F,0,13,1,1,1,3,5,5,2,5,3,3,3,3,3,3,35,1
169,A,0,14,1,4,1,3,5,4,3,4,3,4,2,3,5,4,37,1
170,MI,1,14,2,4,1,1,3,4,1,6,4,2,1,4,3,2,30,0
171,S,0,14,2,2,1,2,4,4,5,5,4,3,4,4,5,5,43,1
172,K,1,13,2,3,1,2,5,4,3,5,4,4,4,4,4,5,42,1
173,L,0,15,2,3,1,3,3,2,4,5,3,2,3,5,4,5,36,1
174,D,0,16,3,2,1,3,3,2,3,6,4,3,2,3,4,3,33,1
175,MFR,1,13,2,3,1,2,5,5,5,6,5,5,4,2,6,6,49,1
176,RA,1,15,2,2,1,3,1,1,1,4,4,4,1,4,4,3,27,0
177,M,0,14,1,1,1,3,4,3,2,4,4,3,3,2,3,4,32,0
178,R,1,13,2,2,1,2,5,1,2,3,3,3,3,3,4,3,30,0
179,A,1,15,2,2,1,3,5,4,2,4,2,4,3,2,6,2,34,1
180,AR,0,14,2,2,1,1,2,2,4,3,5,4,2,3,3,2,30,0
181,JS,0,13,1,1,1,3,2,2,4,5,5,3,5,4,3,2,35,1
182,AI,0,13,1,2,1,3,5,4,3,3,2,2,3,2,4,3,31,0
183,K,0,14,2,2,1,3,2,3,2,3,2,2,3,3,3,2,25,0
184,R,0,15,2,4,1,3,4,3,6,3,3,3,4,4,6,3,39,1
185,K,0,14,2,3,1,3,4,2,5,4,4,2,2,2,5,5,35,1
186,F,0,13,1,2,1,3,4,4,1,4,2,3,2,5,4,3,32,0
187,RJM,1,14,1,3,1,3,4,2,4,5,2,3,4,5,5,5,39,1
188,R,0,13,1,3,1,3,5,5,4,6,3,2,3,3,4,5,40,1
189,KH,0,13,1,4,1,5,5,3,2,4,2,4,3,3,4,4,34,1
190,DW,0,14,2,2,1,3,3,3,2,5,3,3,3,5,3,3,33,1
191,RNS,0,13,1,4,1,3,3,3,4,3,2,3,3,1,5,5,32,0
192,NKA,0,13,1,1,1,1,4,5,5,5,5,5,2,5,5,4,45,1
193,DR,1,13,1,2,1,2,5,3,2,5,5,5,4,4,5,2,40,1
194,AZ,0,13,1,2,1,3,5,5,4,3,5,5,5,4,5,5,46,1
195,GF,1,13,1,2,1,1,5,5,5,3,5,2,1,2,3,5,36,1
196,BR,1,13,1,3,1,3,5,3,5,3,4,4,3,3,4,4,38,1
197,L,0,14,2,3,1,3,2,1,2,5,2,2,3,5,5,4,31,0
198,MZB,1,13,1,1,1,3,5,5,5,3,4,3,5,3,5,5,43,1
199,S,0,13,1,2,1,2,5,3,4,5,3,3,3,3,3,5,37,1
200,N,0,14,2,2,1,3,2,4,1,5,2,2,2,4,4,2,28,0
201,SAP,1,13,1,2,1,2,5,3,3,4,3,4,3,5,4,3,37,1
202,C,0,12,1,3,1,3,6,6,2,2,2,4,2,5,6,4,39,1
203,S,0,14,2,3,1,3,4,2,1,3,2,2,2,2,3,2,23,0
204,NM,0,12,1,3,1,3,5,5,3,4,5,4,4,3,5,5,43,1
205,A,0,14,2,2,1,3,2,1,2,5,1,2,4,4,4,4,29,0
206,F,0,13,1,1,1,3,4,1,1,5,1,1,2,4,1,2,22,0
207,HM,0,14,2,2,1,3,5,5,2,5,5,2,5,2,5,5,41,1
208,SNRR,0,13,1,2,1,3,3,3,4,1,5,2,5,3,4,1,31,0
209,E,1,13,1,1,1,2,6,5,3,1,3,2,4,5,6,4,39,1
210,I,0,13,1,1,1,1,4,4,4,2,1,1,1,2,2,4,25,0
211,A,1,14,2,2,1,3,4,3,3,4,4,5,3,4,5,5,40,1
212,N,0,13,1,1,1,5,3,3,4,2,2,3,2,3,3,2,27,0
213,NK,0,13,1,1,1,1,1,1,1,3,1,1,1,1,2,1,13,0
214,NS,0,13,1,2,1,3,5,5,2,5,5,5,2,2,5,5,41,1
215,SIM,0,14,2,3,1,3,5,3,4,1,2,3,2,2,2,4,28,0
216,Y,1,13,1,2,1,2,3,2,3,2,2,2,2,2,4,3,25,0
217,GDP,1,14,2,4,1,2,5,2,5,5,2,2,2,3,4,2,32,1
218,K,0,13,1,2,1,3,4,3,1,5,2,3,1,3,3,2,27,0
219,M,0,13,1,4,0,1,3,2,2,3,3,2,4,2,3,5,29,0
220,I,0,14,1,2,1,3,5,5,5,5,3,3,2,3,4,5,40,1
221,F,0,14,2,4,1,3,6,4,3,4,4,3,4,3,5,5,41,1
222,A,0,13,1,3,1,3,6,3,5,1,5,2,2,2,5,5,36,1
223,NP,0,14,1,2,1,3,2,1,2,4,2,5,2,5,3,1,27,0
224,S,0,13,1,2,1,1,6,5,5,3,3,4,3,5,4,5,43,1
225,C,0,14,2,3,1,5,2,4,3,4,3,2,2,3,4,2,29,0
226,SA,0,14,2,2,1,3,4,2,2,4,3,2,2,4,3,4,30,0
227,A,0,14,2,3,1,2,5,3,3,3,3,5,2,2,5,6,37,1
228,ZN,0,13,2,3,1,3,2,4,2,6,3,2,2,3,3,3,30,0
229,A,1,12,1,2,1,2,4,3,2,4,4,4,5,4,5,5,40,1
230,AT,1,13,1,2,1,5,4,5,6,3,4,5,4,5,5,6,47,1
231,K,0,13,1,3,1,3,4,3,2,5,4,3,3,4,3,3,34,1
232,E,0,15,2,1,1,1,3,3,4,1,1,1,1,3,4,4,25,0
233,VA,0,12,1,3,1,5,3,3,2,4,4,3,3,3,4,4,33,1
234,A,0,14,2,1,1,5,3,5,2,4,5,4,3,2,5,6,39,1
235,ANA,0,14,2,2,1,3,5,6,5,4,3,4,3,5,6,6,47,1
236,F,1,13,1,2,1,3,4,5,2,5,2,2,2,3,4,5,34,1
237,RNS,1,13,1,3,1,3,3,2,2,4,1,1,1,1,2,1,18,0
238,T,0,14,1,2,1,3,3,3,3,3,3,3,3,2,1,2,26,0
239,KRPA,0,13,1,4,1,3,6,3,4,3,6,5,3,5,5,5,45,1
240,N,0,13,1,2,1,3,5,5,4,5,3,2,2,5,3,2,36,1
241,NNS,0,13,1,3,1,3,4,2,2,5,4,5,5,2,4,2,35,1
242,D,1,14,1,2,1,2,2,1,3,1,2,2,1,4,3,4,23,0
243,I,0,14,1,2,1,3,5,4,2,5,3,2,3,2,3,5,34,1
244,RR,0,14,2,3,1,3,4,4,3,5,5,4,5,4,5,5,44,1
245,TI,0,13,1,2,1,1,1,2,5,5,6,5,4,5,6,3,42,1
246,MY,1,14,1,2,1,1,2,6,2,4,5,4,2,3,2,2,32,1
247,A,0,13,1,1,1,5,2,2,5,5,5,4,4,4,4,1,36,1
248,SRS,0,14,2,3,1,3,4,4,2,6,2,1,5,1,6,1,32,0
249,D,1,12,1,3,1,2,1,3,2,4,4,3,4,2,5,4,32,1
250,R,0,12,1,2,1,5,3,4,2,1,3,2,3,4,5,4,31,0
251,GP,0,11,1,1,1,1,3,3,3,2,3,2,2,2,2,3,25,0
252,G,1,13,1,2,1,5,2,2,4,6,6,4,3,1,1,3,32,1
253,NS,0,14,1,2,1,3,4,3,4,3,3,2,2,4,4,2,31,0
254,ALV,0,13,1,2,1,5,4,1,4,1,1,1,1,2,4,2,21,0
255,IBAVY,1,13,1,2,1,2,4,4,6,6,5,5,4,3,6,5,48,1
